,Number of malaria cases treated with artemisinin-based combination therapies (ACTs),Number of malaria cases treated with artemisinin-based combination therapies (ACTs),Number of malaria cases treated with artemisinin-based combination therapies (ACTs)
"Countries, territories and areas",2020,2019,2018
Afghanistan,100136,118145,31114
Angola,5797209,5575259,6092332
Bangladesh,4885,15099,10459
Belize,,,
Benin,2095303,2353657,340062
Bhutan,8,11,17
Bolivia (Plurinational State of),12093,9357,5920
Botswana,953,272,451
Brazil,23691,74360,
Burkina Faso,10237424,11223002,10807674
Burundi,4289288,8444710,4903851
Cabo Verde,10,40,
Cambodia,9335,32197,60067
Cameroon,1122865,1157011,557576
Central African Republic,1740970,2602171,1068750
Chad,1452420,1595351,1231431
China,,2125,
Colombia,40386,,
Comoros,4546,11593,19682
Congo,103692,233389,
Côte d'Ivoire,4666036,5200350,4871874
Democratic People's Republic of Korea,1819,1869,631
Democratic Republic of the Congo,19192707,18853209,8997911
Djibouti,69029,47691,24883
Dominican Republic,,7,
Ecuador,243,265,
El Salvador,,,3
Eritrea,73419,65697,23584
Eswatini,316,580,615
Ethiopia,1197131,836293,748601
Gabon,30819,117126,208953
Gambia,72300,53385,90622
Ghana,5174075,6164159,3862330
Guatemala,1058,,2785
Guinea,1792653,1696515,1546406
Guinea-Bissau,137821,140478,157003
Guyana,905,12463,7814
Haiti,21353,8861,8296
Honduras,900,,651
India,119087,338494,29453
Indonesia,241181,234381,133860
Iran (Islamic Republic of),126,158,50
Kenya,5899605,5004487,6115406
Lao People's Democratic Republic,3477,6550,8827
Liberia,621695,732322,1113579
Madagascar,1667856,1008480,893163
Malawi,6100758,5089716,7043006
Malaysia,2829,3923,
Mali,1793074,2826112,1814505
Mauritania,760,,25416
Mexico,,12,
Mozambique,11129430,10742632,10064430
Myanmar,15572,23623,53056
Namibia,13636,3404,31886
Nepal,39,63,1193
Nicaragua,25479,13135,15934
Niger,3454246,3031506,2891780
Nigeria,19902369,21252650,15853741
Pakistan,347500,90178,345565
Panama,5,3,
Papua New Guinea,750254,788796,337480
Peru,3198,4724,
Philippines,5987,4845,4559
Rwanda,1045546,3545251,1610
Sao Tome and Principe,1772,2457,2940
Saudi Arabia,3231,1515,
Senegal,442413,339598,520898
Sierra Leone,658948,2404286,1291222
Solomon Islands,86319,83364,
Somalia,23978,38112,51819
South Africa,16028,13833,
South Sudan,822563,122665,76328
Sudan,4863826,4297167,4195600
Suriname,127,202,275
Thailand,175,536,443
Timor-Leste,14,9,8
Togo,1715787,2266412,1560097
Uganda,14656782,9728920,5244003
United Republic of Tanzania,3970308,6385075,7600480
Vanuatu,496,571,
Venezuela (Bolivarian Republic of),48292,90153,97293
Viet Nam,818,3134,4525
Zambia,7473255,19134471,27071994
Zimbabwe,443164,304309,76551
