"Countries, territories and areas",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,110,170,292,378,351,174,152,129,92,192,165,139,198,236,222,259,350,798,1133,965,965
Algeria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
Angola,15989,13622,13489,13941,13430,12551,12036,11586,11461,11832,12398,13342,15280,18237,20525,21709,22169,22694,22952,24478,23661
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,15,47,26,73,72,105,160,77,85,155,166,158,264,263,139,216,213,209,206,202,199
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Benin,10123,9889,9898,10224,11228,10991,10285,9774,8738,8348,8632,9508,10694,12034,12682,11896,10839,9668,8825,8455,7898
Bhutan,0,0,0,0,0,0,0,0,1,1,2,4,2,2,7,5,7,14,11,14,15
Bolivia (Plurinational State of),6,4,2,2,2,3,4,6,4,4,10,6,6,11,14,12,9,12,9,9,24
Botswana,4,0,2,7,3,1,5,1,0,1,5,6,6,3,12,3,3,4,9,19,49
Brazil,42,36,56,34,35,35,36,40,60,70,76,85,68,93,110,123,102,104,95,142,245
Burkina Faso,19979,18813,19064,19292,19443,20471,22278,25694,30247,33208,35034,36176,33805,31272,30542,31546,34556,38366,40688,41824,41277
Burundi,5822,5284,5237,5974,5582,4867,4630,4535,4664,4773,5051,5188,5253,5271,5506,5970,6988,8294,9397,11335,12288
Cabo Verde,0,0,0,2,1,0,1,0,0,1,1,2,2,2,8,2,4,4,2,0,0
Cambodia,43,102,265,336,204,374,399,231,383,641,644,853,497,394,897,705,895,1062,803,904,1582
Cameroon,14841,12683,12770,13633,13699,13171,12725,12467,12327,12280,13328,14457,15930,18138,19887,20137,19432,18374,17775,17459,17144
Central African Republic,5079,4452,4553,4788,5172,5555,5995,6361,6770,7045,7803,8528,9105,9837,9918,9530,9087,8393,7872,7593,7379
Chad,12415,11619,11509,11673,11437,11163,11126,11158,11321,11550,11829,11455,10911,10485,10030,9464,9005,8926,8665,9111,8459
China,0,0,0,0,0,0,0,0,0,33,19,10,23,18,37,48,31,52,42,27,31
Colombia,5,3,9,19,36,18,17,10,24,23,42,28,54,68,77,87,126,118,162,168,124
Comoros,11,45,38,8,2,3,5,135,125,62,92,89,89,89,89,89,89,89,89,89,89
Congo,2354,2220,2191,2200,2118,2023,2047,2015,1897,1870,1835,1828,1871,2028,2198,2366,2505,2630,2749,2983,3034
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,15913,14829,14986,17879,16648,13725,11943,12797,15726,21484,25440,28135,28268,28815,27989,28487,29819,31397,31509,30820,29036
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,82511,65331,65555,67792,63964,58167,56829,59293,67528,79887,91831,101421,106681,111542,115483,112725,112034,105469,101603,100192,100494
Djibouti,126,97,43,25,30,24,24,4,5,5,2,6,5,5,5,5,5,4,4,4,4
Dominican Republic,2,4,1,1,1,3,4,5,8,10,15,14,11,17,10,16,16,12,11,17,6
Ecuador,3,0,0,0,0,0,0,0,0,0,0,6,5,8,9,22,37,46,64,84,66
Egypt,No malariaNo malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
